SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.8,3574,3037.9,01-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,0.9,0.9,0.9,0.9,0.9,0.85,4732,4258.8,05-JAN-2016,8,INE033B01011,
QUINTEGRA,EQ,0.95,0.95,0.95,0.95,0.95,0.9,1005,954.75,06-JAN-2016,3,INE033B01011,
QUINTEGRA,EQ,0.95,0.95,0.95,0.95,0.95,0.95,14366,13647.7,07-JAN-2016,3,INE033B01011,
QUINTEGRA,EQ,1,1,1,1,1,0.95,26000,26000,08-JAN-2016,4,INE033B01011,
QUINTEGRA,EQ,1,1.1,1,1.1,1.1,1,2700,2942.5,11-JAN-2016,7,INE033B01011,
QUINTEGRA,EQ,1.15,1.15,1.15,1.15,1.15,1.1,11477,13198.55,12-JAN-2016,8,INE033B01011,
QUINTEGRA,EQ,1.2,1.2,1.2,1.2,1.2,1.15,31467,37760.4,13-JAN-2016,12,INE033B01011,
QUINTEGRA,EQ,1.25,1.25,1.15,1.15,1.15,1.2,8750,10467.5,14-JAN-2016,4,INE033B01011,
QUINTEGRA,EQ,1.2,1.2,1.2,1.2,1.2,1.15,100,120,15-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,1.15,1.2,1.15,1.2,1.2,1.2,17600,20740,18-JAN-2016,6,INE033B01011,
QUINTEGRA,EQ,1.15,1.15,1.15,1.15,1.15,1.2,9500,10925,20-JAN-2016,5,INE033B01011,
QUINTEGRA,EQ,1.1,1.1,1.1,1.1,1.1,1.15,350,385,21-JAN-2016,2,INE033B01011,
QUINTEGRA,EQ,1.05,1.05,1.05,1.05,1.05,1.1,9500,9975,22-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,1.05,1.05,1.05,1.05,1.05,1.05,1000,1050,25-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,1.05,1.05,1.05,1.05,1.05,1.05,10,10.5,27-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,1.05,1.05,1.05,1.05,1.05,1.05,10,10.5,29-JAN-2016,1,INE033B01011,
QUINTEGRA,EQ,1,1,1,1,1,1.05,500,500,04-FEB-2016,1,INE033B01011,
QUINTEGRA,EQ,0.95,0.95,0.95,0.95,0.95,1,50,47.5,01-MAR-2016,1,INE033B01011,
QUINTEGRA,EQ,0.9,0.9,0.9,0.9,0.9,0.95,2000,1800,02-MAR-2016,1,INE033B01011,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.9,500,425,28-APR-2016,1,INE033B01011,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.85,10,8.5,02-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.8,0.8,0.8,0.8,0.8,0.85,5,4,17-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.75,0.75,0.75,0.75,0.75,0.8,5,3.75,18-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.8,0.8,0.8,0.8,0.8,0.75,5,4,19-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.8,7,5.95,20-MAY-2016,3,INE033B01011,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.85,5,4.25,23-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.85,0.85,0.85,0.85,0.85,0.85,5,4.25,24-MAY-2016,1,INE033B01011,
QUINTEGRA,EQ,0.9,0.9,0.9,0.9,0.9,0.85,1,0.9,23-JUN-2016,1,INE033B01011,
