SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KDDL,EQ,204,204,200,200,200,199.1,550,112000,23-MAR-2016,3,INE291D01011,
KDDL,EQ,201,201,190.15,197.6,200,200,2501,492993,28-MAR-2016,23,INE291D01011,
KDDL,EQ,198.4,200,190,199.3,196.55,197.6,4886,942578.3,29-MAR-2016,32,INE291D01011,
KDDL,EQ,196.55,201.8,196.55,197.1,197.1,199.3,80,15742.4,31-MAR-2016,5,INE291D01011,
KDDL,EQ,200,209.9,190.5,200.1,200.1,197.1,819,167111.5,01-APR-2016,20,INE291D01011,
KDDL,EQ,200.7,200.7,193.1,195.1,195.1,200.1,98,19035,04-APR-2016,3,INE291D01011,
KDDL,EQ,204,224.4,186.05,189.15,190,195.1,4291,826838.7,05-APR-2016,65,INE291D01011,
KDDL,EQ,194.95,199.4,189.5,189.95,189.5,189.15,4321,834895.15,06-APR-2016,70,INE291D01011,
KDDL,EQ,194.95,196.9,185.4,189.1,190,189.95,9416,1788755.05,07-APR-2016,106,INE291D01011,
KDDL,EQ,192.95,196,186.55,189.8,189.95,189.1,4346,833713.8,08-APR-2016,75,INE291D01011,
KDDL,EQ,196,199,189.1,190.05,190,189.8,24568,4747665.75,11-APR-2016,155,INE291D01011,
KDDL,EQ,195.7,195.7,190,190.05,190,190.05,884,170464.05,12-APR-2016,32,INE291D01011,
KDDL,EQ,191,194,187,189.65,188.2,190.05,2152,413215.2,13-APR-2016,39,INE291D01011,
KDDL,EQ,194.7,194.7,186,189,189,189.65,957,181490.1,18-APR-2016,18,INE291D01011,
KDDL,EQ,189,189,184.2,188.95,188.95,189,2586,483784.45,20-APR-2016,38,INE291D01011,
KDDL,EQ,185,189.95,184,185.9,185.5,188.95,1481,274644.85,21-APR-2016,31,INE291D01011,
KDDL,EQ,185.9,188,184,186.55,186.5,185.9,461,85839.75,22-APR-2016,15,INE291D01011,
KDDL,EQ,185,199.8,185,189.05,189.95,186.55,17159,3316168.85,25-APR-2016,166,INE291D01011,
KDDL,EQ,188.1,192,187.1,187.75,187.1,189.05,19943,3781256.35,26-APR-2016,198,INE291D01011,
KDDL,EQ,187.75,190,180.5,183.45,181,187.75,7986,1495886.1,27-APR-2016,101,INE291D01011,
KDDL,EQ,189.7,189.7,166,168.9,170.8,183.45,13043,2256174.35,28-APR-2016,295,INE291D01011,
KDDL,EQ,170,183,168,179.6,177.2,168.9,5453,964522.4,29-APR-2016,99,INE291D01011,
KDDL,EQ,180,180,175.6,178.05,175.7,179.6,7142,1279165.9,02-MAY-2016,72,INE291D01011,
KDDL,EQ,180,182.8,175.5,179.9,179.9,178.05,4401,786335.15,03-MAY-2016,38,INE291D01011,
KDDL,EQ,179.9,180,168.5,169.95,168.6,179.9,24769,4223354.95,04-MAY-2016,348,INE291D01011,
KDDL,EQ,180,180,167.5,168.8,170,169.95,3154,539344.2,05-MAY-2016,50,INE291D01011,
KDDL,EQ,168.8,168.8,165,167.9,167.9,168.8,8292,1383992.35,06-MAY-2016,77,INE291D01011,
