SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ECLERX,EQ,1429.95,1441.05,1418,1429.55,1425.95,1422,11718,16813872.6,01-JAN-2016,2757,INE738I01010,
ECLERX,EQ,1432,1438.9,1385,1400.95,1405,1429.55,16656,23522244.6,04-JAN-2016,2104,INE738I01010,
ECLERX,EQ,1410.05,1420.5,1390.9,1391.95,1394,1400.95,7889,11028090.15,05-JAN-2016,1157,INE738I01010,
ECLERX,EQ,1396.9,1415,1388.7,1392.35,1393.95,1391.95,19408,27211761.9,06-JAN-2016,1486,INE738I01010,
ECLERX,EQ,1395.05,1439.2,1379.65,1410.9,1409.95,1392.35,30809,43460272.95,07-JAN-2016,3975,INE738I01010,
ECLERX,EQ,1438,1438,1385,1397.85,1409.8,1410.9,51607,72425675.85,08-JAN-2016,1657,INE738I01010,
ECLERX,EQ,1406.45,1422.75,1368,1379.15,1371,1397.85,17354,23973702.95,11-JAN-2016,2929,INE738I01010,
ECLERX,EQ,1387.95,1390,1361,1366.55,1378,1379.15,12779,17573290.6,12-JAN-2016,3552,INE738I01010,
ECLERX,EQ,1390,1390,1309.45,1338.8,1330,1366.55,29344,39542437.95,13-JAN-2016,5513,INE738I01010,
ECLERX,EQ,1325,1359.95,1314.15,1345.3,1333,1338.8,15538,20840073.5,14-JAN-2016,2345,INE738I01010,
ECLERX,EQ,1342,1356,1275,1284.55,1282,1345.3,14887,19414943.7,15-JAN-2016,2421,INE738I01010,
ECLERX,EQ,1285.05,1308.45,1220.05,1302.1,1306.85,1284.55,31239,39746493.7,18-JAN-2016,4574,INE738I01010,
ECLERX,EQ,1302,1315,1255.55,1300.55,1315,1302.1,85717,109640655.8,19-JAN-2016,4014,INE738I01010,
ECLERX,EQ,1276.55,1328.95,1272.1,1299,1297.25,1300.55,57901,74903769.75,20-JAN-2016,2728,INE738I01010,
ECLERX,EQ,1296.45,1360,1268,1351.95,1340,1299,35915,46742996.35,21-JAN-2016,1819,INE738I01010,
ECLERX,EQ,1336.1,1380,1320.1,1374.4,1373.25,1351.95,9543,12954717.15,22-JAN-2016,1711,INE738I01010,
ECLERX,EQ,1364.35,1388,1355,1370.55,1370,1374.4,20337,27983003.45,25-JAN-2016,3175,INE738I01010,
ECLERX,EQ,1380.85,1415,1353.1,1407.5,1411,1370.55,16777,23190370.1,27-JAN-2016,1520,INE738I01010,
ECLERX,EQ,1387,1431,1386.15,1421.75,1424.05,1407.5,9233,13110258.2,28-JAN-2016,1764,INE738I01010,
ECLERX,EQ,1423.95,1432,1385,1409.85,1392.05,1421.75,20920,29477990.5,29-JAN-2016,2727,INE738I01010,
ECLERX,EQ,1409,1419,1331,1341.6,1335,1409.85,78535,107029038.45,01-FEB-2016,3460,INE738I01010,
ECLERX,EQ,1356.45,1370,1340.25,1350.15,1351,1341.6,79552,107945494.25,02-FEB-2016,2842,INE738I01010,
ECLERX,EQ,1350.15,1360,1283,1332.65,1330,1350.15,44064,58960684.8,03-FEB-2016,2437,INE738I01010,
ECLERX,EQ,1333,1352.15,1320,1331.45,1320,1332.65,16088,21467824.95,04-FEB-2016,1206,INE738I01010,
ECLERX,EQ,1344.4,1350,1340.2,1344.25,1345,1331.45,83722,112505549.6,05-FEB-2016,1317,INE738I01010,
ECLERX,EQ,1345.1,1347.95,1329,1341.75,1333.6,1344.25,61987,83256341.9,08-FEB-2016,1345,INE738I01010,
ECLERX,EQ,1342.25,1343,1320.1,1328.4,1322,1341.75,25540,33964457.75,09-FEB-2016,2066,INE738I01010,
ECLERX,EQ,1323.8,1350,1307,1326.65,1310,1328.4,55952,73449436.4,10-FEB-2016,4152,INE738I01010,
ECLERX,EQ,1326.65,1342,1309.95,1320.7,1318,1326.65,30861,40815125.95,11-FEB-2016,2418,INE738I01010,
ECLERX,EQ,1313.1,1330.05,1255.1,1323.3,1316.35,1320.7,83980,108482960.85,12-FEB-2016,3150,INE738I01010,
ECLERX,EQ,1322.45,1355,1309,1330.4,1335,1323.3,6955,9305776.55,15-FEB-2016,1678,INE738I01010,
ECLERX,EQ,1320,1330,1267.05,1314.6,1315,1330.4,24261,31668744.5,16-FEB-2016,2357,INE738I01010,
ECLERX,EQ,1318,1339,1283.1,1318.8,1331.05,1314.6,23844,31069560.1,17-FEB-2016,3181,INE738I01010,
ECLERX,EQ,1325,1331.9,1314.95,1323.9,1325,1318.8,43320,57153878.4,18-FEB-2016,1901,INE738I01010,
ECLERX,EQ,1301,1335.55,1291.5,1329,1315.6,1323.9,43474,57432234.7,19-FEB-2016,6583,INE738I01010,
