SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
STLTECH,EQ,150.15,151,147.8,148.3,148,151.3,236782,35316623.85,29-OCT-2020,3242,INE089C01029,
STLTECH,EQ,149.9,150.9,146.1,147.35,147.2,148.3,312245,46295446.35,30-OCT-2020,5145,INE089C01029,
STLTECH,EQ,146.25,148.05,143,144.75,144.55,147.35,540952,78458226.05,02-NOV-2020,14072,INE089C01029,
STLTECH,EQ,146,148.55,143.55,144.65,144,144.75,434089,63338826.85,03-NOV-2020,5651,INE089C01029,
STLTECH,EQ,143.9,146.15,142.5,144.9,144.5,144.65,420340,60690865.55,04-NOV-2020,4933,INE089C01029,
STLTECH,EQ,146.65,147.35,144.35,144.8,144.65,144.9,608913,88709563.15,05-NOV-2020,5327,INE089C01029,
STLTECH,EQ,145,147.9,144.8,147.35,147.25,144.8,435278,63831758.65,06-NOV-2020,4122,INE089C01029,
STLTECH,EQ,148.95,149.25,145,148.7,148.7,147.35,576000,84972861.05,09-NOV-2020,5794,INE089C01029,
STLTECH,EQ,148.05,149.9,145.15,148,148.4,148.7,454180,66953753.5,10-NOV-2020,4724,INE089C01029,
STLTECH,EQ,148.65,150,146.2,149.8,149,148,872451,129974504.6,11-NOV-2020,6591,INE089C01029,
STLTECH,EQ,149.45,151.3,144.75,146.5,145.5,149.8,1154620,171434783.6,12-NOV-2020,6897,INE089C01029,
STLTECH,EQ,146.5,147.7,145.6,146.15,146.75,146.5,541496,79359718.85,13-NOV-2020,5081,INE089C01029,
STLTECH,EQ,146.55,146.95,144.2,145.1,145.15,146.85,783236,113745852.6,17-NOV-2020,6010,INE089C01029,
STLTECH,EQ,145,149.9,144.55,147.15,147.3,145.1,1016849,149295684.15,18-NOV-2020,11789,INE089C01029,
STLTECH,EQ,145.5,154.5,145.5,150,150.3,147.15,1420917,213986258.95,19-NOV-2020,16227,INE089C01029,
STLTECH,EQ,151,152.55,147,149.25,149.5,150,677954,101275598.7,20-NOV-2020,8015,INE089C01029,
STLTECH,EQ,150,153.5,148.45,152.15,152.1,149.25,802690,121606875.3,23-NOV-2020,8659,INE089C01029,
STLTECH,EQ,152.8,154.8,151.85,154.3,154.3,152.15,832056,127825064.1,24-NOV-2020,11017,INE089C01029,
STLTECH,EQ,155,155.4,151,153.45,152.8,154.3,805989,123361273.55,25-NOV-2020,6757,INE089C01029,
STLTECH,EQ,153,155.3,151.7,153.45,152.75,153.45,463155,70891529.35,26-NOV-2020,4682,INE089C01029,
STLTECH,EQ,154.8,163.35,153,162.75,162.05,153.45,3303290,529744149,27-NOV-2020,34459,INE089C01029,
STLTECH,EQ,163.05,164.7,159.2,160.55,160.2,162.75,652581,105139549.7,01-DEC-2020,8137,INE089C01029,
STLTECH,EQ,160.7,160.95,156,157.45,157.1,160.55,853551,135459038.5,02-DEC-2020,8226,INE089C01029,
STLTECH,EQ,158.8,160.5,158.1,158.95,158.5,157.45,503078,80169040.75,03-DEC-2020,5946,INE089C01029,
STLTECH,EQ,160,166.9,159,164.1,163.95,158.95,1589007,261734950.05,04-DEC-2020,18350,INE089C01029,
STLTECH,EQ,165.05,169,163.9,167.25,167,164.1,1287463,215045460.6,07-DEC-2020,20409,INE089C01029,
STLTECH,EQ,168.6,168.7,162.25,166.75,166.1,167.25,825783,136704561.2,08-DEC-2020,9597,INE089C01029,
STLTECH,EQ,166.05,174.4,163.8,169.5,168.8,166.75,2012095,341072639.35,09-DEC-2020,25699,INE089C01029,
STLTECH,EQ,169.7,169.7,162.6,165.6,165.3,169.5,869598,144022635.2,10-DEC-2020,12384,INE089C01029,
STLTECH,EQ,165.9,168.5,160.1,162,161.65,165.6,1035843,170073437.7,11-DEC-2020,11631,INE089C01029,
STLTECH,EQ,163,164.2,160,163.3,162.75,162,542989,88239780.3,14-DEC-2020,8309,INE089C01029,
STLTECH,EQ,163.9,163.9,159.55,162.2,162.4,163.3,565352,91281954.95,15-DEC-2020,10145,INE089C01029,
STLTECH,EQ,163.15,165.2,161,164.25,164.3,162.2,723002,117983967.45,16-DEC-2020,9638,INE089C01029,
STLTECH,EQ,165,165.85,162.65,165,164.55,164.25,684337,112513451.15,17-DEC-2020,9559,INE089C01029,
STLTECH,EQ,164.55,165.6,160.65,162,162.1,165,727182,117857495.95,18-DEC-2020,6583,INE089C01029,
STLTECH,EQ,161.9,171.45,158.05,161,159.25,162,3102228,517560931,21-DEC-2020,37751,INE089C01029,
STLTECH,EQ,160.5,165.6,150,162.25,162.5,161,1042883,165794070.45,22-DEC-2020,13838,INE089C01029,
STLTECH,EQ,163.05,171.5,163.05,170.1,170.05,162.25,1687428,285614894.3,23-DEC-2020,26176,INE089C01029,
STLTECH,EQ,171.5,172.25,166.15,168.2,168.2,170.1,733889,124137995.95,24-DEC-2020,8801,INE089C01029,
STLTECH,EQ,169.7,171.6,164.1,168.05,168,168.2,746863,125485176.6,28-DEC-2020,10474,INE089C01029,
STLTECH,EQ,169.45,184.4,169,179.15,177.8,168.05,7795076,1400555134.55,29-DEC-2020,77353,INE089C01029,
STLTECH,EQ,180.7,189.9,179.15,188.5,187.95,179.15,7720148,1438981803.4,30-DEC-2020,71647,INE089C01029,
STLTECH,EQ,187,188,181.25,182.25,182.6,188.5,1771577,325280441.9,31-DEC-2020,21027,INE089C01029,
STLTECH,EQ,183.45,185.3,182.1,183.35,184,182.25,777834,142864694,01-JAN-2021,8193,INE089C01029,
STLTECH,EQ,185.9,197.3,184.05,195.75,197,183.35,4061273,780008750.85,04-JAN-2021,41471,INE089C01029,
STLTECH,EQ,193.2,198.6,191,196.85,196.2,195.75,1984597,388306575.15,05-JAN-2021,23611,INE089C01029,
STLTECH,EQ,197.5,197.5,188.5,193.65,193.6,196.85,1430822,276665972.9,06-JAN-2021,15565,INE089C01029,
STLTECH,EQ,194.9,196.8,188.7,189.85,190,193.65,638676,122787110.85,07-JAN-2021,8279,INE089C01029,
STLTECH,EQ,191.9,197,190.1,192.1,191.7,189.85,1215167,234711307.2,08-JAN-2021,16362,INE089C01029,
STLTECH,EQ,194.9,197.25,186.65,189.8,189,192.1,1048706,199801366.45,11-JAN-2021,17068,INE089C01029,
STLTECH,EQ,188.6,192.75,187.5,189.2,188.45,189.8,723506,137251077.5,12-JAN-2021,10746,INE089C01029,
STLTECH,EQ,191,192.7,186.15,187.6,187.25,189.2,741871,140214981.65,13-JAN-2021,10186,INE089C01029,
STLTECH,EQ,189.1,189.5,183.5,187.35,187.5,187.6,689161,128372940.1,14-JAN-2021,9427,INE089C01029,
STLTECH,EQ,187.5,194.65,186,187.65,186,187.35,976672,186318799.8,15-JAN-2021,15108,INE089C01029,
STLTECH,EQ,188,189,180.55,185.05,185.5,187.65,951864,175325301.05,18-JAN-2021,10508,INE089C01029,
STLTECH,EQ,188.8,199.9,186,192.35,193,185.05,1194004,230644362.4,19-JAN-2021,15910,INE089C01029,
STLTECH,EQ,193.95,198.4,191.25,193.25,192.2,192.35,2632037,514180916.7,20-JAN-2021,32693,INE089C01029,
STLTECH,EQ,196.9,198,185.55,187.1,186.7,193.25,1073003,205338651.3,21-JAN-2021,12537,INE089C01029,
STLTECH,EQ,186.7,188.9,183.15,184.15,184,187.1,588154,108775674.35,22-JAN-2021,6763,INE089C01029,
STLTECH,EQ,185.5,185.8,172.75,174.15,173.55,184.15,723454,128071766.8,25-JAN-2021,13022,INE089C01029,
STLTECH,EQ,174,179.6,171.45,177.3,177.5,174.15,598329,105056076.55,27-JAN-2021,9314,INE089C01029,
STLTECH,EQ,175,179.4,174,177.6,177.75,177.3,473779,83355415.7,28-JAN-2021,6520,INE089C01029,
STLTECH,EQ,178.7,181,176.6,180,180.5,177.6,484600,86770995.85,29-JAN-2021,7135,INE089C01029,
STLTECH,EQ,181,183.8,175.75,180.25,177,180,473546,85378594.9,01-FEB-2021,7277,INE089C01029,
STLTECH,EQ,182.9,186.9,179,179.9,179.15,180.25,555651,100916807.9,02-FEB-2021,8593,INE089C01029,
STLTECH,EQ,181,182.45,175.55,176.85,175.55,179.9,988407,176866279.85,03-FEB-2021,13098,INE089C01029,
STLTECH,EQ,176.9,179.7,175.5,176.25,175.5,176.85,582175,103164041.4,04-FEB-2021,9271,INE089C01029,
STLTECH,EQ,177.95,178.25,174.8,175.7,175.3,176.25,534969,94348270.85,05-FEB-2021,7289,INE089C01029,
STLTECH,EQ,178.95,185.3,176.25,183.1,183.25,175.7,1342723,243911199.4,08-FEB-2021,17908,INE089C01029,
STLTECH,EQ,183.9,187.9,178.55,180.1,179,183.1,622565,114383819.35,09-FEB-2021,9197,INE089C01029,
STLTECH,EQ,179.6,181.25,178.05,178.8,179,180.1,346612,62130341.7,10-FEB-2021,7697,INE089C01029,
STLTECH,EQ,177,181.6,176.1,178.45,177.55,178.8,511249,91394949.9,11-FEB-2021,10449,INE089C01029,
STLTECH,EQ,178.75,180.5,172.8,174.65,174.9,178.45,632641,111546125.55,12-FEB-2021,11962,INE089C01029,
STLTECH,EQ,176.25,181.9,174.75,180.25,180.1,174.65,742637,132978873.5,15-FEB-2021,12424,INE089C01029,
STLTECH,EQ,181,189.75,180.3,186.75,187,180.25,1603130,298093750.15,16-FEB-2021,25075,INE089C01029,
STLTECH,EQ,187.5,211.9,185,208.6,207.5,186.75,8736442,1763009669.5,17-FEB-2021,107275,INE089C01029,
STLTECH,EQ,207.35,207.35,197.15,199.95,199.3,208.6,3146457,633449785.7,18-FEB-2021,51585,INE089C01029,
STLTECH,EQ,198.8,210,198.75,208.35,208.95,199.95,3086986,636259240.1,19-FEB-2021,36683,INE089C01029,
STLTECH,EQ,209.9,217.4,201.3,203.9,203.5,208.35,2646152,556569279.25,22-FEB-2021,37389,INE089C01029,
STLTECH,EQ,205,210.8,204,205.85,206,203.9,974262,201764842.15,23-FEB-2021,14701,INE089C01029,
STLTECH,EQ,206.75,215,204.6,214.1,213.6,205.85,1189037,251307874.05,24-FEB-2021,19128,INE089C01029,
STLTECH,EQ,216.2,218.7,212,214.3,215,214.1,1108932,238562210.35,25-FEB-2021,22497,INE089C01029,
STLTECH,EQ,208,214.8,205.3,208.1,208.15,214.3,1453086,303930119.95,26-FEB-2021,18335,INE089C01029,
STLTECH,EQ,211,219.85,209.05,215.75,217,208.1,1911821,411847045.6,01-MAR-2021,23392,INE089C01029,
STLTECH,EQ,219.9,224,219,220.65,220.35,215.75,1516989,335662113.15,02-MAR-2021,23689,INE089C01029,
STLTECH,EQ,223.9,225.85,221,222.4,222.3,220.65,973746,217029051.6,03-MAR-2021,15361,INE089C01029,
STLTECH,EQ,219.9,219.9,207,214.9,215.2,222.4,778831,167745993.35,04-MAR-2021,13269,INE089C01029,
STLTECH,EQ,214.8,214.8,206.25,209.75,210,214.9,692591,146070526.1,05-MAR-2021,10702,INE089C01029,
STLTECH,EQ,211.4,216.7,210.05,214.7,215.5,209.75,376158,80565047,08-MAR-2021,10905,INE089C01029,
STLTECH,EQ,215.9,219,211.4,214.95,215.25,214.7,563795,121695567.05,09-MAR-2021,13863,INE089C01029,
STLTECH,EQ,216.8,217.1,215,216.45,215,214.95,245039,52926350.05,10-MAR-2021,9706,INE089C01029,
STLTECH,EQ,218,225,216,220.3,219.5,216.45,964527,213049161.15,12-MAR-2021,19232,INE089C01029,
STLTECH,EQ,223,223,214.35,217.35,216.5,220.3,354547,76765857.75,15-MAR-2021,11288,INE089C01029,
STLTECH,EQ,219,220.25,215,217,216.25,217.35,266538,57955813.6,16-MAR-2021,6401,INE089C01029,
STLTECH,EQ,218,218,211.5,214.55,215,217,429574,92273395.4,17-MAR-2021,14550,INE089C01029,
STLTECH,EQ,216,218.75,206.5,209.75,209.9,214.55,604820,128311604.45,18-MAR-2021,13835,INE089C01029,
STLTECH,EQ,207.7,208.9,190,207.5,208,209.75,955980,195693176.25,19-MAR-2021,11053,INE089C01029,
STLTECH,EQ,206,208,202.8,205.05,205.1,207.5,289199,59370441.75,22-MAR-2021,5224,INE089C01029,
STLTECH,EQ,207,211.7,200.1,208.15,208.6,205.05,322636,66935402.2,23-MAR-2021,5770,INE089C01029,
STLTECH,EQ,204.1,208.05,201,201.7,202.7,208.15,237334,48258417.1,24-MAR-2021,5312,INE089C01029,
STLTECH,EQ,201.8,202.6,192.7,195.8,196,201.7,540578,106127594,25-MAR-2021,9361,INE089C01029,
STLTECH,EQ,196.1,200.6,191,193.75,193,195.8,285765,55968041.1,26-MAR-2021,5910,INE089C01029,
STLTECH,EQ,195,200,193.8,198.1,198.8,193.75,288496,56896869.05,30-MAR-2021,6479,INE089C01029,
