SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GULPOLY,EQ,452.05,466.9,452,460.8,460,451.95,2521,1152133.35,01-JAN-2016,223,INE255D01016,
GULPOLY,EQ,465,466.5,457.05,462.1,461.5,460.8,3451,1597259.8,04-JAN-2016,731,INE255D01016,
GULPOLY,EQ,460,487,460,484.4,486,462.1,4642,2209109.1,05-JAN-2016,630,INE255D01016,
GULPOLY,EQ,476,487,468,478,480.95,484.4,2426,1156202.4,06-JAN-2016,354,INE255D01016,
GULPOLY,EQ,465,476.65,460,464.7,464.8,478,3370,1577582.4,07-JAN-2016,527,INE255D01016,
GULPOLY,EQ,450.8,473.05,444.5,459.65,460,464.7,1482,679163.85,08-JAN-2016,318,INE255D01016,
GULPOLY,EQ,465,465,450,458.25,459,459.65,1568,712955.1,11-JAN-2016,173,INE255D01016,
GULPOLY,EQ,455,465,438.75,449.45,451,458.25,2017,912380.05,12-JAN-2016,491,INE255D01016,
GULPOLY,EQ,459.95,460,400,435.85,430.1,449.45,7353,3190490.05,13-JAN-2016,652,INE255D01016,
GULPOLY,EQ,425,425,410,419.65,417,435.85,4149,1730648.2,14-JAN-2016,249,INE255D01016,
GULPOLY,EQ,438,438,418,420.55,418,419.65,1851,785156.55,15-JAN-2016,410,INE255D01016,
GULPOLY,EQ,418,418,380.6,402.35,396,420.55,6400,2576212,18-JAN-2016,502,INE255D01016,
GULPOLY,EQ,390.3,415,382.2,408.1,415,402.35,3078,1245267.25,19-JAN-2016,799,INE255D01016,
GULPOLY,EQ,410,410,379,384.8,385,408.1,4990,1935083.3,20-JAN-2016,406,INE255D01016,
GULPOLY,EQ,390,395.05,385,388.9,388,384.8,2642,1032483,21-JAN-2016,175,INE255D01016,
GULPOLY,EQ,390.35,420,390,411.7,410,388.9,4629,1892868.35,22-JAN-2016,764,INE255D01016,
GULPOLY,EQ,446,446,416,431.05,431.5,411.7,5448,2355558.55,25-JAN-2016,558,INE255D01016,
GULPOLY,EQ,447,447,420.5,424.75,423.3,431.05,1153,493498.45,27-JAN-2016,108,INE255D01016,
GULPOLY,EQ,429.5,430.9,419.5,427.55,420.2,424.75,1501,638059.5,28-JAN-2016,79,INE255D01016,
GULPOLY,EQ,443.8,443.8,420,425.95,430,427.55,1306,555642,29-JAN-2016,102,INE255D01016,
GULPOLY,EQ,421.2,430,418,421.85,418.5,425.95,2258,964758.9,01-FEB-2016,288,INE255D01016,
GULPOLY,EQ,420,420,392.05,396.6,394,421.85,8361,3373730.65,02-FEB-2016,713,INE255D01016,
GULPOLY,EQ,392,395,385,390.55,392.9,396.6,2519,984493.25,03-FEB-2016,229,INE255D01016,
GULPOLY,EQ,395,395,386,386.75,386.05,390.55,1860,725098.55,04-FEB-2016,97,INE255D01016,
GULPOLY,EQ,383,390,375,377.6,378,386.75,2866,1088004.7,05-FEB-2016,449,INE255D01016,
GULPOLY,EQ,375.05,377.6,330,343.45,361.9,377.6,33133,11505366.5,08-FEB-2016,2205,INE255D01016,
GULPOLY,EQ,340,349,337,342.65,341.2,343.45,3109,1064494.65,09-FEB-2016,708,INE255D01016,
GULPOLY,EQ,340.1,348.9,339,340.35,339,342.65,5118,1755126.25,10-FEB-2016,180,INE255D01016,
GULPOLY,EQ,335,336,290,303.2,300,340.35,27536,8470143.3,11-FEB-2016,1590,INE255D01016,
GULPOLY,EQ,300,320.95,294.05,317.4,319,303.2,7921,2391942.7,12-FEB-2016,526,INE255D01016,
GULPOLY,EQ,320,325.45,315.15,317.6,315.15,317.4,3382,1080553.7,15-FEB-2016,246,INE255D01016,
GULPOLY,EQ,334.85,334.85,296.35,300.75,303.95,317.6,7595,2311504.55,16-FEB-2016,589,INE255D01016,
