SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
XELPMOC,BE,57,59.85,55.15,59.85,59.85,66,12033,709934.95,04-FEB-2019,78,INE01P501012,
XELPMOC,BE,62.8,62.8,62.8,62.8,62.8,59.85,7510,471628,05-FEB-2019,40,INE01P501012,
XELPMOC,BE,65.9,65.9,63.5,65.9,65.9,62.8,306774,20212906.8,06-FEB-2019,345,INE01P501012,
XELPMOC,BE,66.8,69.15,66,69.15,69.15,65.9,89555,6110675.7,07-FEB-2019,944,INE01P501012,
XELPMOC,BE,72.6,72.6,71,72.6,72.6,69.15,25613,1855183.9,08-FEB-2019,170,INE01P501012,
XELPMOC,BE,76.2,76.2,76.2,76.2,76.2,72.6,5695,433959,11-FEB-2019,47,INE01P501012,
XELPMOC,BE,80,80,80,80,80,76.2,33186,2654880,12-FEB-2019,159,INE01P501012,
XELPMOC,BE,84,84,84,84,84,80,29209,2453556,13-FEB-2019,69,INE01P501012,
XELPMOC,BE,88.2,88.2,84,88.2,88.2,84,30540,2671076.35,14-FEB-2019,316,INE01P501012,
XELPMOC,BE,92.6,92.6,92.6,92.6,92.6,88.2,8569,793489.4,15-FEB-2019,76,INE01P501012,
XELPMOC,EQ,101.7,101.7,83.35,83.35,83.35,92.6,71741,6448642.45,18-FEB-2019,1049,INE01P501012,
XELPMOC,EQ,75.45,87,75.05,75.95,75.05,83.35,160416,12571109.05,19-FEB-2019,1622,INE01P501012,
XELPMOC,EQ,70,73,68.4,68.55,68.4,75.95,65357,4563852.3,20-FEB-2019,730,INE01P501012,
XELPMOC,EQ,68,71,66.25,68.7,70,68.55,26126,1811939.55,21-FEB-2019,548,INE01P501012,
XELPMOC,EQ,69.8,69.8,66.1,66.6,66.5,68.7,18837,1274010.05,22-FEB-2019,551,INE01P501012,
XELPMOC,EQ,66.6,69.9,63.65,69.9,69.9,66.6,33878,2248189.55,25-FEB-2019,281,INE01P501012,
XELPMOC,EQ,69.95,73.35,69.9,73.35,73.35,69.9,20095,1454374.85,26-FEB-2019,243,INE01P501012,
XELPMOC,EQ,77,77,73.35,75.4,75.6,73.35,29606,2252953.6,27-FEB-2019,329,INE01P501012,
XELPMOC,EQ,76.9,77.95,73,73.75,73.9,75.4,14701,1102191.2,28-FEB-2019,331,INE01P501012,
XELPMOC,EQ,76.35,76.5,71.15,73.35,75,73.75,17386,1282586.5,01-MAR-2019,345,INE01P501012,
XELPMOC,EQ,70.7,76,70.7,73.7,74.4,73.35,13132,973720.2,05-MAR-2019,244,INE01P501012,
XELPMOC,EQ,75.85,75.85,72,72.8,73.1,73.7,12480,910355.45,06-MAR-2019,313,INE01P501012,
XELPMOC,EQ,73.7,74,69.5,69.95,70.35,72.8,8745,621307.85,07-MAR-2019,172,INE01P501012,
XELPMOC,EQ,70,71,67.35,68.45,68.8,69.95,459873,31049796.1,08-MAR-2019,202,INE01P501012,
XELPMOC,EQ,71.8,71.85,67.5,71.85,71.85,68.45,329268,22334398.55,11-MAR-2019,372,INE01P501012,
XELPMOC,EQ,71.55,74.85,71.1,71.5,72.5,71.85,10327,747167.55,12-MAR-2019,165,INE01P501012,
XELPMOC,EQ,70.3,71.4,69.2,70.25,70.15,71.5,7242,510585.9,13-MAR-2019,124,INE01P501012,
XELPMOC,EQ,69,72,67.2,70,70,70.25,6301,440102.95,14-MAR-2019,104,INE01P501012,
XELPMOC,EQ,69.95,70.8,69.25,70.1,70.1,70,10977,768388.8,15-MAR-2019,103,INE01P501012,
XELPMOC,EQ,70,71.95,69.2,71.2,69.95,70.1,3320,232984.5,18-MAR-2019,94,INE01P501012,
XELPMOC,EQ,71.2,71.2,69.2,69.6,70,71.2,2601,181777.45,19-MAR-2019,70,INE01P501012,
XELPMOC,EQ,70.85,70.85,68.5,69.5,69.1,69.6,2225,154751.8,20-MAR-2019,57,INE01P501012,
XELPMOC,EQ,71,71,68.15,69.05,69,69.5,7600,527779.8,22-MAR-2019,106,INE01P501012,
XELPMOC,EQ,69.1,70.45,66.2,67.3,67.15,69.05,2180,149533.7,25-MAR-2019,84,INE01P501012,
XELPMOC,EQ,69,69,65.55,66.65,66.5,67.3,8382,557424.45,26-MAR-2019,389,INE01P501012,
XELPMOC,EQ,68,68,65.55,67.15,66.8,66.65,5256,350993.5,27-MAR-2019,82,INE01P501012,
XELPMOC,EQ,67.95,67.95,66.85,67,67.8,67.15,1751,117666.85,28-MAR-2019,46,INE01P501012,
XELPMOC,EQ,66,67.7,65.1,66.55,67.5,67,4915,325078.75,29-MAR-2019,372,INE01P501012,
XELPMOC,EQ,66.05,69.85,66.05,69.6,68.8,66.55,7919,544468.3,01-APR-2019,110,INE01P501012,
