SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
OCCL,EQ,520,544,520,535.2,531.25,518.75,2718,1457061,27-JAN-2016,193,INE321D01016,
OCCL,EQ,538.95,538.95,520,520,520,535.2,30,15819.45,28-JAN-2016,4,INE321D01016,
OCCL,EQ,555,555,480,510.15,506,520,485,247186.9,29-JAN-2016,50,INE321D01016,
OCCL,EQ,501,544,501,539.6,539.95,510.15,400,215726.8,01-FEB-2016,95,INE321D01016,
OCCL,EQ,544,544,508.5,532.9,532,539.6,174,92730,02-FEB-2016,44,INE321D01016,
OCCL,EQ,543,543,530,537.5,534,532.9,2512,1350860.95,03-FEB-2016,304,INE321D01016,
OCCL,EQ,544,544,539.95,539.95,539.95,537.5,30,16239,04-FEB-2016,2,INE321D01016,
OCCL,EQ,500,554,451.55,526.45,550,539.95,3247,1701672.1,08-FEB-2016,301,INE321D01016,
OCCL,EQ,545,545,514.25,528.15,523,526.45,1086,573387.75,09-FEB-2016,118,INE321D01016,
OCCL,EQ,505,518,495.25,512.2,514.95,528.15,6638,3387016.4,10-FEB-2016,363,INE321D01016,
OCCL,EQ,490.2,514.95,434.55,477.05,484,512.2,6481,3092265.75,11-FEB-2016,406,INE321D01016,
OCCL,EQ,504,504,451,465,465,477.05,284,131910,12-FEB-2016,13,INE321D01016,
OCCL,EQ,465.1,520,411,463,451,465,2474,1164083.85,15-FEB-2016,75,INE321D01016,
OCCL,EQ,451,451,440,440,440,463,91,40703,16-FEB-2016,9,INE321D01016,
OCCL,EQ,459,486.9,423,429.2,423,440,11917,5445387.45,18-FEB-2016,96,INE321D01016,
OCCL,EQ,430,450,419,426.9,446,429.2,458,194738.9,19-FEB-2016,23,INE321D01016,
OCCL,EQ,421,430,415,426.25,415,426.9,294,125090,22-FEB-2016,15,INE321D01016,
OCCL,EQ,422,422,409,409.1,409.1,426.25,395,162358.2,23-FEB-2016,17,INE321D01016,
OCCL,EQ,412.5,412.5,390.6,395.55,391,409.1,1538,617303,24-FEB-2016,65,INE321D01016,
OCCL,EQ,400,427,393,400,400,395.55,955,385247.65,25-FEB-2016,35,INE321D01016,
OCCL,EQ,397,400,374.9,400,400,400,1671,662413.2,26-FEB-2016,41,INE321D01016,
OCCL,EQ,406,417.95,395,395,395,400,315,126364.75,29-FEB-2016,16,INE321D01016,
OCCL,EQ,430.6,430.6,393.5,398.4,400,395,1479,588688.3,01-MAR-2016,47,INE321D01016,
OCCL,EQ,400,420,391.5,396,391.5,398.4,3860,1543615.5,02-MAR-2016,55,INE321D01016,
OCCL,EQ,400,415.85,395,402,405,396,5468,2185947.45,03-MAR-2016,242,INE321D01016,
OCCL,EQ,401,426,400,412,412,402,1414,581718.9,04-MAR-2016,74,INE321D01016,
OCCL,EQ,413,440.05,410,437.3,440,412,2303,1000325.4,08-MAR-2016,176,INE321D01016,
OCCL,EQ,420.1,425,410,425,425,437.3,502,209834.65,09-MAR-2016,16,INE321D01016,
OCCL,EQ,428,445,420,439.2,444.9,425,2815,1230858.8,10-MAR-2016,463,INE321D01016,
OCCL,EQ,444,444,432,443.2,444,439.2,2345,1039052.8,11-MAR-2016,116,INE321D01016,
OCCL,EQ,444,446.5,440,441,441,443.2,356,156883,14-MAR-2016,11,INE321D01016,
OCCL,EQ,440,440,423,425.6,423,441,218,94812,15-MAR-2016,14,INE321D01016,
OCCL,EQ,430,447,420,446.5,447,425.6,1720,761197.65,16-MAR-2016,137,INE321D01016,
OCCL,EQ,443,453,427,449,449,446.5,1683,755246.85,17-MAR-2016,20,INE321D01016,
OCCL,EQ,459,470.9,459,469.95,470,449,1043,488304.45,18-MAR-2016,99,INE321D01016,
OCCL,EQ,475,489,475,484.6,476.5,469.95,117,56317,21-MAR-2016,13,INE321D01016,
OCCL,EQ,515,581,469.95,482.65,484.95,484.6,8122,3912397.65,22-MAR-2016,102,INE321D01016,
OCCL,EQ,474,499,465.3,492.3,490,482.65,1621,796148.75,23-MAR-2016,96,INE321D01016,
OCCL,EQ,496,496,490,496,496,492.3,376,185219.65,28-MAR-2016,13,INE321D01016,
OCCL,EQ,525,525,482,494.65,495,496,1085,536153.45,29-MAR-2016,75,INE321D01016,
OCCL,EQ,504.95,519.8,494,505.15,518.95,494.65,1343,676005,30-MAR-2016,74,INE321D01016,
OCCL,EQ,509,510,490,506.75,490,505.15,1603,808171.55,31-MAR-2016,79,INE321D01016,
OCCL,EQ,500,503.1,489,502.6,503,506.75,214,105137.2,01-APR-2016,16,INE321D01016,
