SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MODIRUBBER,BE,76.95,76.95,76.95,76.95,76.95,73.3,1,76.95,20-JUN-2018,1,INE832A01018,
MODIRUBBER,BE,73.4,73.4,73.4,73.4,73.4,76.95,31,2275.4,21-JUN-2018,2,INE832A01018,
MODIRUBBER,BE,69.8,76.85,69.8,69.8,69.8,73.4,34,2549.45,22-JUN-2018,5,INE832A01018,
MODIRUBBER,BE,67,67,66.45,66.45,66.45,69.8,104,6913,26-JUN-2018,2,INE832A01018,
MODIRUBBER,BE,63.6,63.6,63.6,63.6,63.6,66.45,20,1272,27-JUN-2018,1,INE832A01018,
MODIRUBBER,BE,63.55,63.55,63.55,63.55,63.55,63.6,100,6355,02-JUL-2018,1,INE832A01018,
MODIRUBBER,BE,61.1,66.7,61.1,66.7,66.7,63.55,6,377.8,03-JUL-2018,2,INE832A01018,
MODIRUBBER,BE,63.4,63.4,63.4,63.4,63.4,66.7,40,2536,05-JUL-2018,1,INE832A01018,
MODIRUBBER,BE,61.05,66.55,61.05,66.55,66.55,63.4,46,3050.3,06-JUL-2018,4,INE832A01018,
MODIRUBBER,BE,64,64,64,64,64,66.55,122,7808,09-JUL-2018,4,INE832A01018,
MODIRUBBER,BE,61.1,61.1,61.05,61.05,61.05,64,151,9221.8,10-JUL-2018,4,INE832A01018,
MODIRUBBER,BE,61,61,61,61,61,61.05,83,5063,11-JUL-2018,2,INE832A01018,
MODIRUBBER,BE,58,64,58,58,58,61,127,7373.25,12-JUL-2018,9,INE832A01018,
MODIRUBBER,BE,58,58,58,58,58,58,1,58,13-JUL-2018,1,INE832A01018,
MODIRUBBER,BE,58,58,58,58,58,58,10,580,16-JUL-2018,1,INE832A01018,
MODIRUBBER,BE,58,58,58,58,58,58,36,2088,17-JUL-2018,4,INE832A01018,
MODIRUBBER,BE,57.95,57.95,57.95,57.95,57.95,58,1,57.95,18-JUL-2018,1,INE832A01018,
MODIRUBBER,BE,56,56,56,56,56,57.95,3,168,23-JUL-2018,2,INE832A01018,
MODIRUBBER,BE,56,56,56,56,56,56,107,5992,24-JUL-2018,7,INE832A01018,
MODIRUBBER,BE,53.2,54.05,53.2,54.05,54.05,56,26,1404.45,25-JUL-2018,3,INE832A01018,
MODIRUBBER,BE,51.35,51.6,51.35,51.6,51.6,54.05,419,21520.4,26-JUL-2018,7,INE832A01018,
MODIRUBBER,BE,54.1,54.15,50,54.15,54.15,51.6,73,3716.5,27-JUL-2018,7,INE832A01018,
MODIRUBBER,BE,51.45,51.45,51.45,51.45,51.45,54.15,229294,11797176.3,30-JUL-2018,16,INE832A01018,
MODIRUBBER,BE,54,54,54,54,54,51.45,109,5886,31-JUL-2018,2,INE832A01018,
MODIRUBBER,BE,56.7,56.7,56.7,56.7,56.7,54,65,3685.5,01-AUG-2018,6,INE832A01018,
MODIRUBBER,BE,59.5,59.5,56.7,56.7,56.7,56.7,1479,86533.3,02-AUG-2018,18,INE832A01018,
MODIRUBBER,BE,56.7,59,54.1,55,55,56.7,1268,72231.1,03-AUG-2018,21,INE832A01018,
MODIRUBBER,BE,55,55,52.75,54.65,54.65,55,186,9951.7,06-AUG-2018,8,INE832A01018,
MODIRUBBER,BE,52.05,56.65,52.05,55,55,54.65,937,51067.75,07-AUG-2018,10,INE832A01018,
MODIRUBBER,BE,55,57,52.4,57,57,55,6140,349025.2,08-AUG-2018,23,INE832A01018,
MODIRUBBER,BE,54.2,57,54.2,56,56,57,10066,573435.85,09-AUG-2018,9,INE832A01018,
MODIRUBBER,BE,53.25,57.9,53.25,53.55,53.55,56,198,10976.25,10-AUG-2018,7,INE832A01018,
MODIRUBBER,BE,53.55,53.55,51.1,52.75,52.75,53.55,337,17732.05,13-AUG-2018,9,INE832A01018,
MODIRUBBER,BE,52.75,52.75,52,52,52,52.75,277,14439,14-AUG-2018,3,INE832A01018,
MODIRUBBER,BE,51.15,51.7,51.15,51.7,51.7,52,15,774.95,16-AUG-2018,2,INE832A01018,
MODIRUBBER,BE,49.25,49.25,49.25,49.25,49.25,51.7,71,3496.75,17-AUG-2018,1,INE832A01018,
MODIRUBBER,BE,47.35,51,47.35,51,51,49.25,118,5798.25,20-AUG-2018,6,INE832A01018,
MODIRUBBER,BE,50.9,50.9,50.9,50.9,50.9,51,1,50.9,21-AUG-2018,1,INE832A01018,
MODIRUBBER,BE,49,49.6,49,49.6,49.6,50.9,180,8881.1,23-AUG-2018,8,INE832A01018,
MODIRUBBER,BE,51.8,51.8,48.5,51.8,51.8,49.6,48,2450.1,24-AUG-2018,12,INE832A01018,
MODIRUBBER,BE,51.3,51.3,49.6,49.6,49.6,51.8,190,9646.7,27-AUG-2018,5,INE832A01018,
MODIRUBBER,BE,52.05,52.05,52.05,52.05,52.05,49.6,20,1041,28-AUG-2018,2,INE832A01018,
MODIRUBBER,BE,54.5,54.65,52,54.65,54.65,52.05,207,11304.3,29-AUG-2018,8,INE832A01018,
MODIRUBBER,BE,57.2,57.2,51.95,57.15,57.15,54.65,284,16189.5,30-AUG-2018,8,INE832A01018,
MODIRUBBER,BE,57.15,57.15,55,55,55,57.15,250,14244.5,31-AUG-2018,4,INE832A01018,
MODIRUBBER,BE,55,55.1,55,55,55,55,240,13201,03-SEP-2018,4,INE832A01018,
MODIRUBBER,BE,55,55,55,55,55,55,10,550,04-SEP-2018,1,INE832A01018,
MODIRUBBER,BE,52.25,57,52.25,57,57,55,71,3714.5,05-SEP-2018,2,INE832A01018,
MODIRUBBER,BE,59.8,59.8,57,57,57,57,51,3045,06-SEP-2018,3,INE832A01018,
MODIRUBBER,BE,56.95,56.95,56,56,56,57,109,6112.55,07-SEP-2018,4,INE832A01018,
MODIRUBBER,BE,55.9,57,55.8,57,57,56,727,41051.45,10-SEP-2018,26,INE832A01018,
MODIRUBBER,BE,57,57,57,57,57,57,140,7980,11-SEP-2018,3,INE832A01018,
MODIRUBBER,BE,54.3,54.3,54.25,54.25,54.25,57,10,542.75,12-SEP-2018,2,INE832A01018,
MODIRUBBER,BE,56.5,56.5,56.5,56.5,56.5,54.25,1,56.5,14-SEP-2018,1,INE832A01018,
MODIRUBBER,BE,59,59,59,59,59,56.5,9,531,17-SEP-2018,1,INE832A01018,
MODIRUBBER,BE,59,59,59,59,59,59,69,4071,21-SEP-2018,2,INE832A01018,
MODIRUBBER,BE,57,57,57,57,57,59,10,570,03-OCT-2018,1,INE832A01018,
MODIRUBBER,BE,57,57,57,57,57,57,5,285,08-OCT-2018,1,INE832A01018,
MODIRUBBER,BE,55.2,55.2,54.5,54.5,54.5,57,1520,83540,11-OCT-2018,6,INE832A01018,
MODIRUBBER,BE,54.5,54.5,54.5,54.5,54.5,54.5,12,654,12-OCT-2018,2,INE832A01018,
MODIRUBBER,BE,54.5,57,54.5,57,57,54.5,79,4318,15-OCT-2018,4,INE832A01018,
MODIRUBBER,BE,55,55,55,55,55,57,3,165,22-OCT-2018,1,INE832A01018,
MODIRUBBER,BE,52.25,52.25,52.25,52.25,52.25,55,160,8360,23-OCT-2018,2,INE832A01018,
MODIRUBBER,BE,49.65,54.85,49.65,50,50,52.25,360,17961,24-OCT-2018,4,INE832A01018,
MODIRUBBER,BE,50.3,50.3,50.3,50.3,50.3,50,1,50.3,25-OCT-2018,1,INE832A01018,
MODIRUBBER,BE,50.3,50.3,47.8,47.8,47.8,50.3,55,2661.5,26-OCT-2018,3,INE832A01018,
MODIRUBBER,BE,50.05,50.05,46.25,46.25,46.25,47.8,17,790.05,29-OCT-2018,2,INE832A01018,
MODIRUBBER,BE,45.1,45.1,45.1,45.1,45.1,46.25,158,7125.8,06-NOV-2018,3,INE832A01018,
MODIRUBBER,BE,41.25,41.25,41.25,41.25,41.25,42.9,1000,41250,12-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,41,41,41,41,41,41.25,100,4100,13-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,42,42,42,42,42,41,10,420,14-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,43,43,43,43,43,42,5,215,16-NOV-2018,2,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,43,6,270.3,20-NOV-2018,2,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,45.05,269,12118.45,21-NOV-2018,2,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,45.05,5,225.25,22-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,45.05,150,6757.5,26-NOV-2018,2,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,45.05,13,585.65,27-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,45.05,45.05,45.05,45.05,45.05,45.05,57,2567.85,29-NOV-2018,1,INE832A01018,
MODIRUBBER,BE,42.8,42.8,42.8,42.8,42.8,45.05,43,1840.4,04-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.7,40.7,40.7,40.7,40.7,42.8,100,4070,05-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.05,40.05,40.05,40.05,40.05,40.7,369,14778.45,10-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.1,40.1,40.1,40.1,40.1,40.05,131,5253.1,12-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.1,40.2,40.1,40.2,40.2,40.1,70,2812,13-DEC-2018,2,INE832A01018,
MODIRUBBER,BE,40.25,40.25,40.25,40.25,40.25,40.2,20000,805000,14-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.1,40.1,40.1,40.1,40.1,40.25,200,8020,17-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.15,40.15,40.15,40.15,40.15,40.1,113,4536.95,18-DEC-2018,3,INE832A01018,
MODIRUBBER,BE,40.05,40.1,40.05,40.1,40.1,40.15,48,1922.9,19-DEC-2018,2,INE832A01018,
MODIRUBBER,BE,40.1,40.1,40.1,40.1,40.1,40.1,1,40.1,20-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.1,40.1,40.1,40.1,40.1,40.1,9,360.9,21-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.05,40.05,40.05,40.05,40.05,40.1,56,2242.8,24-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.1,40.1,40.05,40.05,40.05,40.05,76,3046.3,26-DEC-2018,2,INE832A01018,
MODIRUBBER,BE,41,41,41,41,41,40.05,1,41,31-DEC-2018,1,INE832A01018,
MODIRUBBER,BE,40.55,43,40.55,43,43,41,77,3124.8,01-JAN-2019,5,INE832A01018,
MODIRUBBER,BE,45.15,45.15,43.2,43.2,43.2,43,190,8209.95,02-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,43.6,43.6,43.6,43.6,43.6,43.2,2,87.2,04-JAN-2019,1,INE832A01018,
MODIRUBBER,BE,43.6,43.6,43.6,43.6,43.6,43.6,11,479.6,07-JAN-2019,3,INE832A01018,
MODIRUBBER,BE,43.75,44,43.75,44,44,43.6,7,306.75,08-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,42.25,42.25,42.25,42.25,42.25,44,10,422.5,09-JAN-2019,1,INE832A01018,
MODIRUBBER,BE,41.1,41.1,41.1,41.1,41.1,42.25,20,822,10-JAN-2019,1,INE832A01018,
MODIRUBBER,BE,42,43,42,43,43,41.1,10,425,14-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,45,45,45,45,45,43,6,270,15-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,46,46,44.1,46,46,45,120,5339.5,16-JAN-2019,4,INE832A01018,
MODIRUBBER,BE,46,46,44.25,44.25,44.25,46,28,1244.25,18-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,46.25,46.25,42.3,42.3,42.3,44.25,428,18311.4,21-JAN-2019,4,INE832A01018,
MODIRUBBER,BE,42.1,42.1,42.1,42.1,42.1,42.3,150,6315,22-JAN-2019,1,INE832A01018,
MODIRUBBER,BE,40.25,44.15,40.25,44.15,44.15,42.1,26,1073.8,24-JAN-2019,3,INE832A01018,
MODIRUBBER,BE,46,46.25,41.95,46.25,46.25,44.15,54,2281.75,25-JAN-2019,7,INE832A01018,
MODIRUBBER,BE,46.25,46.25,46.25,46.25,46.25,46.25,44,2035,30-JAN-2019,2,INE832A01018,
MODIRUBBER,BE,43.95,43.95,43.95,43.95,43.95,46.25,179,7867.05,31-JAN-2019,3,INE832A01018,
MODIRUBBER,BE,44,44,44,44,44,43.95,10,440,01-FEB-2019,1,INE832A01018,
MODIRUBBER,BE,42,42,42,42,42,44,5,210,04-FEB-2019,1,INE832A01018,
MODIRUBBER,BE,40.1,44.1,40.05,44.1,44.1,42,249,9987.7,05-FEB-2019,5,INE832A01018,
MODIRUBBER,BE,45.1,45.1,45.1,45.1,45.1,44.1,70,3157,06-FEB-2019,3,INE832A01018,
MODIRUBBER,BE,45.1,45.1,45.1,45.1,45.1,45.1,51,2300.1,12-FEB-2019,3,INE832A01018,
MODIRUBBER,BE,42.85,45,42.85,45,45,45.1,650,27960,21-FEB-2019,7,INE832A01018,
MODIRUBBER,BE,45,45,45,45,45,45,320,14400,22-FEB-2019,3,INE832A01018,
MODIRUBBER,BE,43,45,43,45,45,45,105,4525,25-FEB-2019,2,INE832A01018,
MODIRUBBER,BE,42.75,42.75,42.75,42.75,42.75,45,65,2778.75,27-FEB-2019,3,INE832A01018,
MODIRUBBER,BE,40.65,44.8,40.65,44.3,44.8,42.75,311,13307.3,28-FEB-2019,11,INE832A01018,
MODIRUBBER,BE,44.3,46.5,44,46.5,46.5,44.3,632,28895.5,01-MAR-2019,6,INE832A01018,
MODIRUBBER,BE,46.5,46.5,46.5,46.5,46.5,46.5,2,93,05-MAR-2019,1,INE832A01018,
MODIRUBBER,BE,45,45,45,45,45,46.5,1,45,06-MAR-2019,1,INE832A01018,
MODIRUBBER,BE,42.9,47,42.8,44,44,45,422,19028.8,07-MAR-2019,7,INE832A01018,
MODIRUBBER,BE,42.1,46.2,42.1,46,46,44,1125,49707,08-MAR-2019,9,INE832A01018,
MODIRUBBER,BE,43.75,47,43.75,45.25,47,46,471,21011,11-MAR-2019,6,INE832A01018,
MODIRUBBER,BE,45.05,47.5,43,45,45,45.25,6273,282301.8,12-MAR-2019,52,INE832A01018,
MODIRUBBER,BE,43,47,43,47,47,45,808,36132.9,13-MAR-2019,17,INE832A01018,
MODIRUBBER,BE,45,45,45,45,45,47,200,9000,14-MAR-2019,1,INE832A01018,
MODIRUBBER,BE,45,46.4,43,43.6,43,45,4035,176050.65,15-MAR-2019,6,INE832A01018,
MODIRUBBER,BE,45.4,45.4,45,45.4,45.4,43.6,380,17202,18-MAR-2019,9,INE832A01018,
MODIRUBBER,BE,45,45,43.75,43.75,43.75,45.4,40,1781.25,22-MAR-2019,2,INE832A01018,
MODIRUBBER,BE,43.75,43.75,43.75,43.75,43.75,43.75,3,131.25,25-MAR-2019,1,INE832A01018,
MODIRUBBER,BE,44.85,45,44.85,45,45,43.75,3455,155466.15,26-MAR-2019,10,INE832A01018,
MODIRUBBER,BE,43,47,42.75,44.9,47,45,205,9187.25,27-MAR-2019,7,INE832A01018,
MODIRUBBER,BE,43,47,43,46.95,47,44.9,231,10848,28-MAR-2019,4,INE832A01018,
MODIRUBBER,BE,46,46,46,46,46,46.95,25,1150,29-MAR-2019,1,INE832A01018,
MODIRUBBER,BE,47.95,47.95,47.95,47.95,47.95,46,2,95.9,01-APR-2019,1,INE832A01018,
MODIRUBBER,BE,47.95,47.95,47.95,47.95,47.95,47.95,10,479.5,02-APR-2019,1,INE832A01018,
MODIRUBBER,BE,46.9,47.3,46.9,47.2,47.3,47.95,10,472.2,04-APR-2019,2,INE832A01018,
MODIRUBBER,BE,44.85,44.85,44.85,44.85,44.85,47.2,1,44.85,05-APR-2019,1,INE832A01018,
MODIRUBBER,BE,42.65,47,42.65,44,44,44.85,929,39787.45,08-APR-2019,10,INE832A01018,
MODIRUBBER,BE,46,46.2,45,46.2,46.2,44,2211,100707,09-APR-2019,12,INE832A01018,
MODIRUBBER,BE,44.9,44.9,44.9,44.9,44.9,46.2,1000,44900,10-APR-2019,1,INE832A01018,
MODIRUBBER,BE,42.7,42.7,42.7,42.7,42.7,44.9,10,427,11-APR-2019,2,INE832A01018,
MODIRUBBER,BE,42.7,44.8,42.7,44.8,44.8,42.7,3026,135479.1,12-APR-2019,9,INE832A01018,
MODIRUBBER,BE,44.9,44.9,43.1,43.1,43.1,44.8,291,13064.1,15-APR-2019,3,INE832A01018,
MODIRUBBER,BE,42.65,45,42.65,45,45,43.1,1060,47582.5,16-APR-2019,3,INE832A01018,
MODIRUBBER,BE,44.9,44.9,43,44.75,44.75,45,255,11352.25,18-APR-2019,3,INE832A01018,
MODIRUBBER,BE,42.6,46,42.6,46,46,44.75,764,32704.6,22-APR-2019,7,INE832A01018,
MODIRUBBER,BE,43.7,43.7,43.7,43.7,43.7,46,5,218.5,23-APR-2019,1,INE832A01018,
MODIRUBBER,BE,43.7,43.7,43,43,43,43.7,686,29499.4,24-APR-2019,3,INE832A01018,
MODIRUBBER,BE,41.6,42,41.55,42,42,43,558,23230.55,26-APR-2019,4,INE832A01018,
MODIRUBBER,BE,43,44,43,44,44,42,208,8963,30-APR-2019,5,INE832A01018,
MODIRUBBER,BE,41.8,45,41.8,45,45,44,83,3569.8,02-MAY-2019,3,INE832A01018,
MODIRUBBER,BE,44.95,45,44.95,45,45,45,1000,44980,03-MAY-2019,8,INE832A01018,
MODIRUBBER,BE,42.75,45,42.75,45,45,45,653,27918,06-MAY-2019,5,INE832A01018,
MODIRUBBER,BE,45.2,45.2,43,43,43,45,210,9052,07-MAY-2019,2,INE832A01018,
MODIRUBBER,BE,43,45,40.85,45,45,43,61,2517.5,08-MAY-2019,3,INE832A01018,
MODIRUBBER,BE,47.25,47.25,42.75,42.75,42.75,45,473,20353.25,09-MAY-2019,8,INE832A01018,
MODIRUBBER,BE,42.75,42.75,42.75,42.75,42.75,42.75,17,726.75,10-MAY-2019,1,INE832A01018,
MODIRUBBER,BE,40.7,40.7,40.7,40.7,40.7,42.75,101,4110.7,14-MAY-2019,3,INE832A01018,
MODIRUBBER,BE,40.7,40.7,40.7,40.7,40.7,40.7,207,8424.9,15-MAY-2019,4,INE832A01018,
MODIRUBBER,BE,40.65,42.6,38.7,40.25,40,40.7,2015,80823.7,16-MAY-2019,7,INE832A01018,
MODIRUBBER,BE,41.55,42.25,38.75,39.2,42.2,40.25,183,7470.4,17-MAY-2019,8,INE832A01018,
MODIRUBBER,BE,41.15,41.15,39.3,39.3,39.3,39.2,59,2322.4,20-MAY-2019,3,INE832A01018,
MODIRUBBER,BE,41.25,41.25,41.25,41.25,41.25,39.3,5,206.25,21-MAY-2019,1,INE832A01018,
