SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GKWLIMITED,EQ,552,579.95,551.75,577.85,562.1,563.2,456,259167.35,01-JAN-2016,25,INE528A01020,
GKWLIMITED,EQ,577,579.5,568,573.1,574,577.85,791,453544.15,04-JAN-2016,29,INE528A01020,
GKWLIMITED,EQ,567,575.95,565.05,573.55,575.95,573.1,286,162492.15,05-JAN-2016,16,INE528A01020,
GKWLIMITED,EQ,561,577,560,575,575,573.55,100,56414.65,06-JAN-2016,28,INE528A01020,
GKWLIMITED,EQ,565,574,552,570.35,571,575,52,29202.9,07-JAN-2016,21,INE528A01020,
GKWLIMITED,EQ,572,589,552.05,574.5,575,570.35,460,260977.1,08-JAN-2016,47,INE528A01020,
GKWLIMITED,EQ,553,589.9,551,582.7,588,574.5,1005,578255.3,11-JAN-2016,57,INE528A01020,
GKWLIMITED,EQ,570.05,650,570,635.8,650,582.7,2707,1697350.55,12-JAN-2016,226,INE528A01020,
GKWLIMITED,EQ,640,761,590.05,710.1,697,635.8,20310,14591922.9,13-JAN-2016,748,INE528A01020,
GKWLIMITED,EQ,688,688,594,611.7,610,710.1,2364,1495622.15,14-JAN-2016,205,INE528A01020,
GKWLIMITED,EQ,615.05,630,570.15,584.15,580,611.7,800,475011.3,15-JAN-2016,132,INE528A01020,
GKWLIMITED,EQ,584.15,590,481.7,573.6,565.1,584.15,1941,1066807.8,18-JAN-2016,209,INE528A01020,
GKWLIMITED,EQ,556,688,520.05,679.5,685.1,573.6,7259,4769447.1,19-JAN-2016,357,INE528A01020,
GKWLIMITED,EQ,655,779,636.05,758.5,721.1,679.5,12024,8895073.75,20-JAN-2016,696,INE528A01020,
GKWLIMITED,EQ,798,885,641,802.75,779,758.5,19406,15429742.45,21-JAN-2016,898,INE528A01020,
GKWLIMITED,EQ,780,825,770,774.3,780,802.75,1644,1300351.5,22-JAN-2016,142,INE528A01020,
GKWLIMITED,EQ,751,789.9,660,707.7,690,774.3,4384,3100433.75,25-JAN-2016,448,INE528A01020,
GKWLIMITED,EQ,720,835,681.1,820.65,811,707.7,16015,12740909.05,27-JAN-2016,850,INE528A01020,
GKWLIMITED,EQ,820,865,750,763.5,759,820.65,9703,7916297.7,28-JAN-2016,752,INE528A01020,
GKWLIMITED,EQ,788.95,792,700.05,714.65,705,763.5,3001,2198368.8,29-JAN-2016,226,INE528A01020,
GKWLIMITED,EQ,739.95,739.95,660,702.05,718,714.65,2960,2074575.8,01-FEB-2016,216,INE528A01020,
GKWLIMITED,EQ,700.1,768.95,700.1,755.1,750,702.05,2690,1995803.85,02-FEB-2016,212,INE528A01020,
GKWLIMITED,EQ,765,810,705,779.25,750,755.1,9346,7378866.2,03-FEB-2016,633,INE528A01020,
GKWLIMITED,EQ,780,808.8,751,776.4,764,779.25,5803,4568701.9,04-FEB-2016,299,INE528A01020,
GKWLIMITED,EQ,820,820,680,691.95,682.05,776.4,10507,7917233.3,05-FEB-2016,698,INE528A01020,
GKWLIMITED,EQ,692,729.7,650,663.75,658,691.95,2061,1405864.85,08-FEB-2016,237,INE528A01020,
GKWLIMITED,EQ,651.1,675,632,641.65,649.8,663.75,1532,993587.65,09-FEB-2016,178,INE528A01020,
GKWLIMITED,EQ,641,654.75,621,646.05,648.6,641.65,1046,671161.2,10-FEB-2016,146,INE528A01020,
GKWLIMITED,EQ,617,639,580,592.05,600,646.05,1134,696759,11-FEB-2016,132,INE528A01020,
GKWLIMITED,EQ,565,618.5,525,547.05,535.1,592.05,1255,687433,12-FEB-2016,134,INE528A01020,
GKWLIMITED,EQ,595.25,598.95,580,581,581,547.05,565,332450.45,15-FEB-2016,61,INE528A01020,
GKWLIMITED,EQ,566.1,580,560,564.65,560,581,92,52158.9,16-FEB-2016,34,INE528A01020,
GKWLIMITED,EQ,522.05,568.95,522,553.9,544.1,564.65,240,131633.5,17-FEB-2016,45,INE528A01020,
GKWLIMITED,EQ,555,586,541.2,572.9,570,553.9,1566,866741.9,18-FEB-2016,104,INE528A01020,
GKWLIMITED,EQ,590,610,522.5,580.5,590,572.9,1372,809412.25,19-FEB-2016,110,INE528A01020,
GKWLIMITED,EQ,590,625,545.15,604.95,604,580.5,1407,849029.75,22-FEB-2016,188,INE528A01020,
GKWLIMITED,EQ,595,620,581,599.7,600,604.95,1633,981727.65,23-FEB-2016,138,INE528A01020,
GKWLIMITED,EQ,581.45,589.4,570.1,574.25,574.95,599.7,429,248780.9,24-FEB-2016,47,INE528A01020,
GKWLIMITED,EQ,580,595,560,584.25,586.3,574.25,266,154422.65,25-FEB-2016,45,INE528A01020,
GKWLIMITED,EQ,572.55,575,520,533.15,539.95,584.25,995,539534.7,26-FEB-2016,126,INE528A01020,
GKWLIMITED,EQ,532.05,536.95,502,508.4,504,533.15,567,295070.15,29-FEB-2016,113,INE528A01020,
GKWLIMITED,EQ,486,529.2,486,513.9,509,508.4,1184,615196.45,01-MAR-2016,50,INE528A01020,
GKWLIMITED,EQ,565,568,502.3,528.15,520,513.9,889,481041.95,02-MAR-2016,102,INE528A01020,
GKWLIMITED,EQ,520.4,549,520.4,544.9,548,528.15,725,391512,03-MAR-2016,61,INE528A01020,
GKWLIMITED,EQ,550,563,548.1,561.5,563,544.9,176,97819.45,04-MAR-2016,44,INE528A01020,
GKWLIMITED,EQ,558,558,516.3,529.6,520,561.5,645,346338.85,08-MAR-2016,90,INE528A01020,
GKWLIMITED,EQ,522,535,520,528.5,534,529.6,104,54731.85,09-MAR-2016,25,INE528A01020,
GKWLIMITED,EQ,528.5,609.5,528.5,578.9,576,528.5,2163,1233937.95,10-MAR-2016,278,INE528A01020,
GKWLIMITED,EQ,565,580,554,558.65,555.5,578.9,972,547112.95,11-MAR-2016,100,INE528A01020,
GKWLIMITED,EQ,559,575.4,559,570.3,564,558.65,554,316464.45,14-MAR-2016,56,INE528A01020,
GKWLIMITED,EQ,570,570,550.4,566.45,566.5,570.3,121,67771.65,15-MAR-2016,23,INE528A01020,
GKWLIMITED,EQ,630,630,545,550.4,550,566.45,43,23727.9,16-MAR-2016,18,INE528A01020,
GKWLIMITED,EQ,559,560.65,550.4,558.2,558.5,550.4,376,210069.4,17-MAR-2016,32,INE528A01020,
GKWLIMITED,EQ,551.4,569,551.4,561.35,560,558.2,84,47088.7,18-MAR-2016,14,INE528A01020,
GKWLIMITED,EQ,540,570,540,555.2,555.2,561.35,29,16182.85,21-MAR-2016,15,INE528A01020,
GKWLIMITED,EQ,551.15,551.15,541,543.05,542,555.2,203,110543.7,22-MAR-2016,19,INE528A01020,
GKWLIMITED,EQ,546.1,560,542.5,550.7,558,543.05,34,18722.75,23-MAR-2016,18,INE528A01020,
GKWLIMITED,EQ,545.2,559.95,531,531.7,531.65,550.7,153,83992.35,28-MAR-2016,32,INE528A01020,
GKWLIMITED,EQ,533.05,533.05,521.05,524.6,522,531.7,96,50735.5,29-MAR-2016,29,INE528A01020,
GKWLIMITED,EQ,535,623.9,535,609.6,600,524.6,6939,3874033.15,30-MAR-2016,184,INE528A01020,
GKWLIMITED,EQ,613.6,622.85,580,582.85,580,609.6,149,89271.3,31-MAR-2016,33,INE528A01020,
GKWLIMITED,EQ,600,619.4,590.4,594.65,591,582.85,56,33650.5,01-APR-2016,14,INE528A01020,
GKWLIMITED,EQ,583,583,570,570,570,594.65,10,5726.6,04-APR-2016,6,INE528A01020,
GKWLIMITED,EQ,551.05,600,551,561,555,570,91,51796,05-APR-2016,17,INE528A01020,
GKWLIMITED,EQ,557,618.75,557,599,592,561,552,324061.1,06-APR-2016,79,INE528A01020,
GKWLIMITED,EQ,600,659.75,575,637.7,613,599,1748,1096483.5,07-APR-2016,166,INE528A01020,
GKWLIMITED,EQ,613,680,602.3,660.9,666,637.7,2198,1444264.2,08-APR-2016,227,INE528A01020,
GKWLIMITED,EQ,631.05,650,613,629.5,626,660.9,5564,3605837.3,11-APR-2016,85,INE528A01020,
GKWLIMITED,EQ,639,639.95,617,618.4,625,629.5,59,36625.35,12-APR-2016,24,INE528A01020,
GKWLIMITED,EQ,618.4,618.4,600.3,607.3,601,618.4,587,357080.35,13-APR-2016,62,INE528A01020,
GKWLIMITED,EQ,586.5,634,586.5,599,591,607.3,427,259571.25,18-APR-2016,42,INE528A01020,
GKWLIMITED,EQ,605.05,605.05,601,601,601,599,15,9041.3,20-APR-2016,9,INE528A01020,
GKWLIMITED,EQ,605,668,600,611.6,610,601,583,365702,21-APR-2016,53,INE528A01020,
GKWLIMITED,EQ,605,619,601.25,607.9,601.25,611.6,52,31677.6,22-APR-2016,13,INE528A01020,
GKWLIMITED,EQ,601.65,628,601.65,616,616,607.9,33,20089.55,25-APR-2016,17,INE528A01020,
GKWLIMITED,EQ,607.9,644.8,607.9,612.8,608.5,616,294,182254.65,26-APR-2016,38,INE528A01020,
GKWLIMITED,EQ,615,615,602,615,615,612.8,79,48216.7,27-APR-2016,17,INE528A01020,
GKWLIMITED,EQ,596.55,690,596.5,630.75,648.9,615,3602,2370052.05,28-APR-2016,236,INE528A01020,
GKWLIMITED,EQ,610.05,642.95,601,605.25,602.6,630.75,335,204289.55,29-APR-2016,38,INE528A01020,
GKWLIMITED,EQ,605.3,617.95,595.5,609,609,605.25,1378,839615.35,02-MAY-2016,52,INE528A01020,
GKWLIMITED,EQ,593,651.1,593,618.5,628,609,68,42337.4,03-MAY-2016,20,INE528A01020,
GKWLIMITED,EQ,605.55,615.05,591,598.55,591,618.5,93,55887.35,04-MAY-2016,32,INE528A01020,
GKWLIMITED,EQ,619.95,622,600.1,621.05,622,598.55,236,145936.25,05-MAY-2016,30,INE528A01020,
GKWLIMITED,EQ,625.95,638,600.25,630.5,638,621.05,189,118819.25,06-MAY-2016,36,INE528A01020,
GKWLIMITED,EQ,673,673,609.95,616.8,622,630.5,255,156779.6,09-MAY-2016,30,INE528A01020,
GKWLIMITED,EQ,610.65,630,610.6,611.5,611.5,616.8,96,58869.85,10-MAY-2016,29,INE528A01020,
GKWLIMITED,EQ,624.85,624.9,603.1,604.6,603.1,611.5,463,283303.8,11-MAY-2016,44,INE528A01020,
GKWLIMITED,EQ,605,610,596.65,601.1,596.65,604.6,52,31348.45,12-MAY-2016,24,INE528A01020,
GKWLIMITED,EQ,600.05,630.05,600,601.8,601.1,601.1,732,450774.95,13-MAY-2016,38,INE528A01020,
GKWLIMITED,EQ,624,624,603.65,619.2,620.5,601.8,152,94301.65,16-MAY-2016,24,INE528A01020,
GKWLIMITED,EQ,629,629,603.7,603.7,603.7,619.2,342,209981.55,17-MAY-2016,41,INE528A01020,
GKWLIMITED,EQ,615,615.95,600,610.2,610,603.7,696,418948,18-MAY-2016,34,INE528A01020,
GKWLIMITED,EQ,601.5,618.9,601,613.2,611,610.2,166,101752.05,19-MAY-2016,14,INE528A01020,
GKWLIMITED,EQ,601.05,614.9,601,606.4,611,613.2,70,42379.15,20-MAY-2016,25,INE528A01020,
GKWLIMITED,EQ,592.55,616.95,592.55,595.05,595,606.4,69,41652.1,23-MAY-2016,17,INE528A01020,
GKWLIMITED,EQ,619.9,619.9,589.05,609.8,609.8,595.05,21,12699.35,24-MAY-2016,8,INE528A01020,
GKWLIMITED,EQ,581.5,611.95,581.5,601,603,609.8,595,358338.25,25-MAY-2016,43,INE528A01020,
GKWLIMITED,EQ,610.4,610.4,604,605,605,601,85,51356.6,26-MAY-2016,13,INE528A01020,
GKWLIMITED,EQ,594.55,612,594.55,600,600,605,47,28401.6,27-MAY-2016,11,INE528A01020,
GKWLIMITED,EQ,610.4,610.4,583.2,606,606,600,203,121834.4,30-MAY-2016,16,INE528A01020,
GKWLIMITED,EQ,618.55,618.55,595.05,597.55,595.05,606,150,91332.6,31-MAY-2016,30,INE528A01020,
GKWLIMITED,EQ,600,606,599,606,606,597.55,53,32043.8,01-JUN-2016,15,INE528A01020,
GKWLIMITED,EQ,611,611,595,599.95,599,606,168,100730,02-JUN-2016,16,INE528A01020,
GKWLIMITED,EQ,619,619,595,596.7,595,599.95,131,79760.55,03-JUN-2016,20,INE528A01020,
GKWLIMITED,EQ,580,599.95,580,598.4,597.95,596.7,56,32921.7,06-JUN-2016,15,INE528A01020,
GKWLIMITED,EQ,619,619,585,586.2,585,598.4,377,221581.75,07-JUN-2016,39,INE528A01020,
GKWLIMITED,EQ,609.9,609.9,582.55,596,596,586.2,14,8467.5,08-JUN-2016,8,INE528A01020,
GKWLIMITED,EQ,596,612,577.05,609.05,611.95,596,137,82079.7,09-JUN-2016,29,INE528A01020,
GKWLIMITED,EQ,605.05,605.05,585.9,591,591,609.05,20,12001.8,10-JUN-2016,9,INE528A01020,
GKWLIMITED,EQ,592.05,592.05,570.05,589.95,589.95,591,137,79097.6,13-JUN-2016,23,INE528A01020,
GKWLIMITED,EQ,577,597.95,570.5,580,580,589.95,80,46211.55,14-JUN-2016,28,INE528A01020,
GKWLIMITED,EQ,580,599.95,580,593.55,599.95,580,140,82703.8,15-JUN-2016,19,INE528A01020,
GKWLIMITED,EQ,596.75,596.75,581.05,595,595,593.55,4,2369.55,16-JUN-2016,4,INE528A01020,
GKWLIMITED,EQ,575.05,591,575,582.1,580.1,595,43,24948,17-JUN-2016,12,INE528A01020,
GKWLIMITED,EQ,566,595,566,594.95,595,582.1,98,57591.85,20-JUN-2016,13,INE528A01020,
GKWLIMITED,EQ,595.35,601.05,594,601,601,594.95,114,68481.2,21-JUN-2016,20,INE528A01020,
GKWLIMITED,EQ,600,600,598.9,599.35,600,601,23,13787.45,22-JUN-2016,6,INE528A01020,
GKWLIMITED,EQ,573,607,535.3,588.5,588,599.35,256,151002.7,23-JUN-2016,38,INE528A01020,
GKWLIMITED,EQ,588.5,596.4,585,595,595,588.5,66,38829,24-JUN-2016,14,INE528A01020,
GKWLIMITED,EQ,573.05,593.3,570.3,591.6,593.3,595,27,15661.75,27-JUN-2016,12,INE528A01020,
GKWLIMITED,EQ,579,625,579,613.45,610,591.6,601,367767.2,28-JUN-2016,66,INE528A01020,
GKWLIMITED,EQ,610,649,610,633.1,630.05,613.45,861,539519.7,29-JUN-2016,93,INE528A01020,
GKWLIMITED,EQ,641.35,670,640.7,661.95,661.05,633.1,2063,1362185.9,30-JUN-2016,182,INE528A01020,
GKWLIMITED,EQ,662,694.8,662,676.75,675,661.95,809,546009.6,01-JUL-2016,125,INE528A01020,
GKWLIMITED,EQ,662,697.25,662,684.05,684.5,676.75,239,163382.95,04-JUL-2016,52,INE528A01020,
GKWLIMITED,EQ,670.65,702,670.6,691.2,690.05,684.05,754,521174.3,05-JUL-2016,76,INE528A01020,
GKWLIMITED,EQ,671.15,698.5,665.4,666.1,665.4,691.2,477,320122.35,07-JUL-2016,63,INE528A01020,
GKWLIMITED,EQ,665,681.45,652.3,660.95,665,666.1,230,151770.1,08-JUL-2016,26,INE528A01020,
GKWLIMITED,EQ,665,665,633.05,646.3,640,660.95,173,112009.65,11-JUL-2016,40,INE528A01020,
GKWLIMITED,EQ,694,694,655,655,655,646.3,223,149140.25,12-JUL-2016,23,INE528A01020,
GKWLIMITED,EQ,650,659.7,642,655,655,655,294,191080.1,13-JUL-2016,26,INE528A01020,
GKWLIMITED,EQ,646,646,645,645,645,655,5,3229,14-JUL-2016,2,INE528A01020,
GKWLIMITED,EQ,635.05,649,631,647.3,645,645,200,128134.4,15-JUL-2016,20,INE528A01020,
GKWLIMITED,EQ,615.55,652.05,611,650.2,649.5,647.3,279,178902.3,18-JUL-2016,25,INE528A01020,
GKWLIMITED,EQ,674.9,679.9,640,650,650,650.2,78,50885.45,19-JUL-2016,25,INE528A01020,
GKWLIMITED,EQ,645.05,647,645,646.9,645,650,36,23260.05,20-JUL-2016,5,INE528A01020,
GKWLIMITED,EQ,633.3,640.05,633.25,635.2,635.2,646.9,33,21010.55,21-JUL-2016,12,INE528A01020,
GKWLIMITED,EQ,622.05,650,622.05,640,640,635.2,266,170086,22-JUL-2016,23,INE528A01020,
GKWLIMITED,EQ,634.05,645,621.25,622.25,621.25,640,145,91614.95,25-JUL-2016,24,INE528A01020,
GKWLIMITED,EQ,616,639,616,625.85,625.1,622.25,191,119287.7,26-JUL-2016,42,INE528A01020,
GKWLIMITED,EQ,625.15,664,615.55,657.4,664,625.85,239,154631.5,27-JUL-2016,35,INE528A01020,
GKWLIMITED,EQ,636,688,636,673.9,688,657.4,301,199164.45,28-JUL-2016,50,INE528A01020,
