SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
FINPIPE,EQ,302.15,303.9,299,299.4,299.2,300.65,6170,1853364.2,01-JAN-2016,321,INE183A01016,
FINPIPE,EQ,300,307.35,300,301.65,302,299.4,15516,4695696.75,04-JAN-2016,678,INE183A01016,
FINPIPE,EQ,297.3,305,297.3,303.35,303.5,301.65,13982,4239774.95,05-JAN-2016,656,INE183A01016,
FINPIPE,EQ,307,307.9,293.75,302.5,303.65,303.35,17324,5239941.25,06-JAN-2016,733,INE183A01016,
FINPIPE,EQ,294.5,301,294.5,299.1,298.75,302.5,19684,5882111.95,07-JAN-2016,560,INE183A01016,
FINPIPE,EQ,299.15,302.85,299.15,301.35,301.1,299.1,6611,1991028.95,08-JAN-2016,184,INE183A01016,
FINPIPE,EQ,297,306.95,292.65,299.95,298.85,301.35,127511,38016895.3,11-JAN-2016,1667,INE183A01016,
FINPIPE,EQ,302.8,307,300.55,305.6,305.35,299.95,25065,7658314.3,12-JAN-2016,1450,INE183A01016,
FINPIPE,EQ,305.6,308.1,290.6,296.05,297,305.6,24954,7495608.5,13-JAN-2016,728,INE183A01016,
FINPIPE,EQ,298,298,287.5,289.75,288,296.05,26504,7707444.85,14-JAN-2016,1319,INE183A01016,
FINPIPE,EQ,296.5,296.5,284.95,287,285.25,289.75,19415,5594674.6,15-JAN-2016,432,INE183A01016,
FINPIPE,EQ,289.05,289.35,266.9,276.05,275,287,18520,5168303.8,18-JAN-2016,1174,INE183A01016,
FINPIPE,EQ,279.95,279.95,268.1,273.1,272.5,276.05,12587,3450302.15,19-JAN-2016,853,INE183A01016,
FINPIPE,EQ,270,277.65,260.4,264.75,263.85,273.1,18369,4858161.25,20-JAN-2016,2000,INE183A01016,
FINPIPE,EQ,265,279.95,265,274.95,275.05,264.75,457127,125674431.55,21-JAN-2016,1440,INE183A01016,
FINPIPE,EQ,275,287.9,271.05,282.8,284,274.95,21380,5919898.4,22-JAN-2016,654,INE183A01016,
FINPIPE,EQ,284.05,308.25,284.05,305.55,307,282.8,82668,24940597.6,25-JAN-2016,3442,INE183A01016,
FINPIPE,EQ,307.65,309,297,307,307.95,305.55,92706,28262064.8,27-JAN-2016,3984,INE183A01016,
FINPIPE,EQ,307.75,308,300.4,306.6,307.7,307,29085,8864996.6,28-JAN-2016,1639,INE183A01016,
FINPIPE,EQ,303,319.5,303,317.9,319.5,306.6,56428,17705597.95,29-JAN-2016,2224,INE183A01016,
FINPIPE,EQ,318,323.9,314,319.65,323.9,317.9,35523,11324896.4,01-FEB-2016,1496,INE183A01016,
FINPIPE,EQ,322.9,324,309.1,311.1,310,319.65,34209,10836110.8,02-FEB-2016,1285,INE183A01016,
FINPIPE,EQ,307,308,298.1,301.1,303,311.1,14920,4491918.9,03-FEB-2016,652,INE183A01016,
FINPIPE,EQ,300.1,306.9,298.15,303.8,303.55,301.1,59327,17978556.85,04-FEB-2016,832,INE183A01016,
FINPIPE,EQ,303.65,309,303.65,306.15,305.7,303.8,8072,2467749.6,05-FEB-2016,381,INE183A01016,
FINPIPE,EQ,305,317,305,308.95,308.85,306.15,14495,4520102,08-FEB-2016,1130,INE183A01016,
FINPIPE,EQ,309.95,313.7,305,310.95,309,308.95,16633,5149484.1,09-FEB-2016,997,INE183A01016,
FINPIPE,EQ,308,312.5,301.5,309.2,309.5,310.95,22819,7040504.6,10-FEB-2016,1389,INE183A01016,
